id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
35	"cavlak, meryem banu"	-0.6387	-0.4023	1	18	22	2	0	1	2022	0	0.5
36	"cheng, clooney c. y."	0.1579	-1.0448	6	14	14	1	0	1	2022	0	1
37	"chiatante, giorgia"	0.3833	0.6898	7	19	43	4	49	4.2145	2016.5	12.25	1.0536
38	"church, deanna m."	0.4677	-0.4212	12	6	6	1	11	0.9802	2017	11	0.9802
39	"cicek, a. ercument"	-0.4754	-0.3242	1	7	9	2	25	1.7176	2019	12.5	0.8588
40	"d'addabbo, pietro"	0.4481	0.738	7	13	35	3	33	2.7887	2016.3333	11	0.9296
41	"dagtas, nihan d."	1.1217	-0.114	2	21	21	1	1	0.0845	2016	1	0.0845
42	"dal, elif"	-0.0397	0.1695	10	1	1	1	0	0	2018	0	0
43	"demir, gulfem"	0.7189	-0.0285	11	7	8	2	16	1.2839	2017	8	0.6419
44	"dennis, megan"	0.1628	-1.1345	6	14	14	1	0	1	2022	0	1
45	"deshpande, dhrithi"	-0.8485	0.2649	5	16	16	1	5	2	2021	5	2
46	"donertas, melike"	1.0934	0.0197	2	21	21	1	1	0.0845	2016	1	0.0845
47	"durmus, selvi"	-0.3143	0.8717	3	10	10	1	30	1.1475	2018	30	1.1475
48	"ebren, ezgi"	0.2503	0.4368	9	5	5	1	5	0.5085	2020	5	0.5085
49	"eichler, evan e."	0.36	0.5708	9	8	8	1	16	1.4257	2017	16	1.4257
50	"emmons, john"	-0.3189	-0.0451	8	8	13	2	44	3.6843	2015.5	22	1.8421
51	"enriquez-gasca, rocio"	0.0763	-1.0665	6	14	14	1	0	1	2022	0	1
52	"erdal, yilmaz s."	1.1291	-0.1638	2	21	21	1	1	0.0845	2016	1	0.0845
53	"ergin, oguz"	-0.4422	-0.1643	8	9	14	2	101	5.8977	2017.5	50.5	2.9488
54	"ernst, jason"	0.2168	-1.0745	6	14	14	1	0	1	2022	0	1
55	"ersan, pelin"	-0.2236	0.7095	3	8	8	1	0	0	2017	0	0
56	"ersan, pelin gulizar"	-0.3428	0.6888	3	8	8	1	0	0	2017	0	0
57	"esen, tarik"	0.7478	-0.0674	11	7	7	1	15	1.25	2015	15	1.25
58	"evrony, gilad"	0.1198	-1.1375	6	14	14	1	0	1	2022	0	1
59	"eyupoglu, erol"	-0.2635	0.8171	3	17	26	3	30	1.1475	2017.3333	10	0.3825
60	"firtina, can"	-0.591	-0.3351	1	26	47	6	61	6.0005	2019.2	10.1667	1.0001
61	"gautheret, daniel"	-0.2811	0.6881	3	10	16	2	0	0	2017	0	0
62	"ghiasi, nika mansouri"	-0.7063	-0.4051	1	17	17	1	0	1	2022	0	1
63	"ghose, saugata"	-0.6458	-0.2336	1	27	51	5	171	9.0282	2019.8	34.2	1.8056
64	"giannuzzi, giuliana"	0.4512	0.7945	7	13	35	3	33	2.7887	2016.3333	11	0.9296
65	"girirajan, santhosh"	0.2037	-1.0349	6	14	14	1	0	1	2022	0	1
66	"gokkaya, alim s."	-0.0968	-0.4396	4	5	5	1	20	0.765	2018	20	0.765
67	"gomez-luna, juan"	-0.7388	-0.2568	1	24	36	3	27	3.7458	2020.6667	9	1.2486
68	"gotherstrom, anders"	1.0816	-0.178	2	21	21	1	1	0.0845	2016	1	0.0845
